"","AlignID","Factor","tmean","FoundIn","A_060223_002","A_060223_003","A_060223_004","A_060223_005","A_060223_SHB22","A_062923_003","A_062923_004","A_062923_005","A_062923_006","A_062923_007","Q_102623_012","Q_102623_But1","Q_102623_But2","Q_102623_But3","Q_102623_But4","Q_102623_But5","A_060223_SHB1","A_060223_SHB10","A_060223_SHB11","A_060223_SHB12","A_060223_SHB13","A_060223_SHB16","A_060223_SHB17","A_060223_SHB21","A_060223_SHB23","A_060223_SHB24","A_060223_SHB4","A_060223_SHB8","A_062923_SHB1","A_062923_SHB10","A_062923_SHB12","A_062923_SHB5","A_062923_SHB7","A_20210825_001","A_20210825_004","A_20210825_011","A_20210825_014","A_20210825_016","A_20220308_009","A_20220308_010","A_20220308_012","A_20220308_018","Q_102623_004","Q_102623_005","Q_102623_009","Q_102623_010","Q_102623_017","A_060223_SHB14","A_060223_SHB18","A_060223_SHB5","A_060223_SHB6","A_060223_SHB7","A_060223_SHB9","A_062923_SHB11","A_062923_SHB16","A_062923_SHB18","A_062923_SHB19","A_062923_SHB21","A_062923_SHB3","A_062923_SHB4","A_062923_SHB6","A_20210825_002","A_20210825_012","A_20210825_017","A_20220308_004","A_20220308_006","A_20220308_011","A_20220308_014","A_20220308_015","A_20220308_016","Q_102623_001","Q_102623_002","Q_102623_006","Q_102623_008","Q_102623_011","Q_102623_014","Q_102623_015","Q_102623_016","Q_102623_018","Q_102623_021","Q_102623_022","Q_102623_027","A_060223_SHB15","A_060223_SHB19","A_060223_SHB2","A_060223_SHB20","A_060223_SHB3","A_062923_SHB13","A_062923_SHB14","A_062923_SHB15","A_062923_SHB17","A_062923_SHB2","A_062923_SHB20","A_062923_SHB22","A_062923_SHB8","A_062923_SHB9","A_20210825_013","A_20210825_015","A_20210825_018","A_20220308_005","A_20220308_007","A_20220308_008","A_20220308_013","A_20220308_017","Q_102623_003","Q_102623_007","Q_102623_013","Q_102623_019","Q_102623_020","Q_102623_023","Q_102623_024","A_20210825_019","A_20220308_003","Q_102623_025","Q_102623_026"
"1",16,"Factor #16",7.0864,115,84.22956,342.1218,288.6303,369.2461,30975,651.0921,404.6084,109.3897,135.8694,50.93159,10271481,79690.1,21291.42,27814.23,48614.61,31134.78,9190.124,34289,27640,2690.402,9897.189,33850,4548.436,40985,33069,39963.16,50542.77,45118,22413,6012.939,10170.82,14229.4,4681.58,2860.984,1982.297,645367.3,987430.8,653549.6,729.6016,960.3763,2544.958,821.9916,16195503,13845161,13989099,11550015,21387238,40688,24059,39211,58575.27,5745.925,29938,5998.344,42956.04,18019,15633.56,23752,6290.834,5683,5649.51,2229.057,865057.3,485387.4,1303.068,7286.323,1251.925,7444.661,519.7771,7197.278,27118176,19479022,10963622,13323353,6370114,9768281,8908438,5396309,8415085,8878486,8898837,783651,4817.644,24123,55022,31879,6662.431,22313,4149.424,4276.651,13744.68,21609,13318.79,4303.389,18430,17556.32,886069.7,10610.36,976187.8,4559.884,1371.024,1237.109,742.3961,8209.949,15143615,11418037,10660564,8338061,7911629,10142605,6592887,13669516,1953.334,6238165,4835405
"2",18,"Factor #18",7.0974,114,292.0589,797.3096,0,309.5553,46096.38,707.0298,363.1898,370.6123,255.2277,261.4365,27288550,24398.23,55366.35,49168.18,9673.231,72895.58,5331.895,5724.476,53156.84,27606,36775,4871.914,50749.91,8528.608,4239.406,33224,40796,6091.574,3942.429,15147.45,3608.758,16620.17,7859.43,3307.554,6555.268,1464217,2184191,26955.55,1812.561,11872.38,12750.05,13160.76,9614614,7868166,32204871,29858563,5251279,47550.91,17862.08,9366.748,53647,26572,28153,3777.771,38895.53,37891.43,40692.17,5000.185,2915.19,32915.08,3373.365,2235.542,1853783,33631.57,1812.668,12259.44,3223.293,1223.11,1178.941,2170.505,62692325,4270781,31614423,11178710,233041,420178,403786,22529753,3808132,20786590,19368547,1178608,21811,38651.38,18307.89,41601.89,43463,27497.28,34658.89,13181,3083.273,4002.896,39635.22,11574.32,11247.71,3594.784,1845449,17758.09,2084639,12367.77,1266.681,1095.821,2213.285,10911.61,18408983,31345789,24022635,916800,291560,1819940,18497139,45734709,1382.267,689756,2085080
"3",27,"Factor #27",7.2571,115,308.6395,118.8137,119.0357,613.6414,6313.035,214.808,194.2853,436.5227,153.3938,30893.87,214570.3,43084.91,1502.061,60937.48,917.0767,37967.02,37281,22410,8915.776,22934.89,29198,21345,21749,9032.114,8589.479,18845,11644,22305,41429,11377,89764.7,14480,8169.825,15141.52,4581.73,29700.08,10076.79,901.4221,2799.236,3448.449,2479.542,3320.782,250662.7,228243.9,384391,615125,190728.6,11234.12,12542,5601.008,21704,6823.002,25574,31038,7919.652,87360,11592,49389,26447,11390,29720,9997.239,509.1084,12311.13,3217.756,2651.877,3322.797,2775.895,3425.659,3248.043,299705.6,406030,202304.9,719452,757401,202212.8,534296,236932.8,213027.2,454713,199551.6,789524,8482.044,27542,7363.819,32893,25354,22288,7659.043,6912.238,10257.65,33863,90431,93349,20421,60341,19518.48,36.68844,2.271882e-09,3118.009,4380.396,2844.84,3663.87,3539.783,272694.5,3281210,205231.2,235401.2,2331347,245749.4,230497.9,378.5594,2886.604,209684.9,160471
"4",34,"Factor #34",7.4974,115,395.2144,263.1411,285.4596,218.6562,9284.867,379.2285,122.0874,188.7766,364.7368,402.3511,374440.9,76667.52,29674.65,59513.25,79359.17,37734.78,32476,107191,13629.05,20116,125194,18222.37,19315,117047,94474,84780,12657.8,121618,16442,2102.999,55502,8241.376,8454.755,8438.247,6881.843,136213.1,153447.2,174557.9,2053.18,1095.822,1201.146,1321.667,294715.3,311227.6,413046.9,38565.19,275364.5,7342,9927.02,93504,105475,8893.217,6109.041,48796,7739,4956.874,62184,42262,38298,56662,55811,8503.909,147171.6,169631.7,995.2946,1349.255,1579.21,1289.575,1526.024,1417.682,98654.57,335233.3,250793.2,12966.04,366570.5,74392.88,205983.4,93431.32,198127,8094.528,16951.99,962064.1,121684,8871.657,16963.22,12182.61,94356,58637,10491.16,60767,8638,12676,7008,8914,8633,38925,152467.6,153348.1,157398.1,511.17,1183.107,845.6741,1105.689,514.9984,157659.9,117904.1,216486.5,151632.1,616250,364810.7,241640.2,210287.1,1701.621,59781.26,24001.16
"5",36,"Factor #36",7.5063,115,382.6281,337.2716,316.0667,341.0736,52963,1294.927,1782.984,507.2183,666.9852,441.4838,48799.55,89723.24,38509.75,48189.22,24479.06,251359.7,105456,2518.757,4008.759,46861,58931,48398,39128,55657,46901,63067,43968,2103.55,2221.552,3386.835,5335.968,2616.142,4769.486,10091.67,9548.007,14056.33,16684.67,64600.8,18296.99,23286.01,15683.41,25361.01,21614.94,96216.2,15356.76,49391.83,21906.77,50737,50480,51964,3041.953,1819.923,84479,4321.51,13109,9336,11992,4611.04,5549.324,4349.552,3774.765,7264.01,23054.32,122137,16503.42,21066.41,16479.54,16531.39,23453.88,23157.73,79852.91,62555.04,25188.1,27722.6,17929.39,8002.143,20012.19,48713.04,54540.57,7082.048,7816.074,168444.7,3414.641,50838,97800,51579,44890,6135.113,11698,11297,17501,14373,9875,9250.256,10428,3596.147,11213.33,84416.17,27051.65,20748.25,16396.43,19270.93,22215.88,21434.28,28596.65,103160.1,27751.85,6109.627,16982.66,22124.22,13997.7,2712.916,18699.38,66052.01,16210.02
"6",43,"Factor #43",7.6938,115,557.8763,164.358,316.7607,404.6084,565.3492,731.6825,142.7165,232.3665,135.4134,324.6378,1563873,46271.23,205790.3,23011.39,96560.27,124870.4,99045,76043,72642,1134.913,409.855,98976,839.1836,1546.96,66255,68337,61623,88574,18775.99,12760.83,12592.77,14949.84,71400,5282.715,2502.198,1378937,301847.1,178562.3,43297.96,84215.86,77218.02,46814.23,1048923,2429341,1104276,1163120,925344.9,68178,957.9082,630.1451,73777,64085,914.7399,13409.31,18190.87,82608,17673.03,128821,20201.52,22230.03,13651.91,3980.577,203309.4,141448.5,59917.13,64580.44,74680.04,36516.56,70806.47,49117.14,1318031,2535250,1485845,871894.2,2299284,1541453,2007275,820456.2,996204.6,921834.2,1823381,2300417,1016.358,1184.75,58500,87627,674.0601,110794,12174.28,95936,19985.88,107053,126790,149686,14235.76,97863,402469.7,12814.47,251005.1,59432.78,539240.7,55559.64,38051.01,67013.63,2425122,957824,947938.9,986812.9,3385975,1169026,2163802,83729.16,16753.77,987660.7,696919.4
"7",44,"Factor #44",7.7013,115,16.81848,21.26875,8.902471,15.0014,54492,81.52259,19.28586,26.59107,24.48041,9.710826,546759.7,18299.28,59038.66,11440.36,63090.34,57696.94,66254,903.1339,663.809,74677,67615,1287.43,40807,69632,736.7527,874.5005,1414.412,391.1686,78477,48730,75754,14422.21,11757.4,436.9967,287.5009,31871.59,45235.28,33718.1,49664.47,80369.93,78285.75,44294.4,2362237,658637.6,647755,2048682,1867432,909.4348,1494.842,67155,929.2194,1165.527,42649,10624.47,11743.51,15270.07,155588,13877.31,14516.59,108184,60891,353.8773,48811.98,31841.24,56785.51,60207.48,68773.83,35962.73,69956.46,42608.8,2971827,692640.2,671365.8,3342027,584616.3,528393.6,542930.5,1810988,468101.9,1845625,411818.8,451247,62644,873.6848,1240.374,871.299,930.5415,11044.93,13853.09,11284.42,117805,100331,16831.94,14781.38,13051.39,11932.43,42306.02,33378.85,28035.37,62377.69,498555.7,56082.03,35409.5,57428.66,614648.6,1855128,427969,478031.9,537798.1,557347.7,454913.2,152606.8,14349.26,518608.3,400442.2
"8",47,"Factor #47",7.7326,115,259.2724,393.3869,226.1247,379.6887,208212,542.7607,460.2676,203.9896,142.2551,1081.65,2177724,11076.98,23916.87,9254.758,24474.72,23245.94,33063.53,175664,196249,18994.14,222380,21852.35,168582,41115.72,185568,202288,166256,207708,37639.26,116370,16894,159757,155332,8223.059,5248.933,201535.5,168325.6,314398.6,10221.32,31155.93,10881.1,11908.4,383285.4,2137823,2354528,2308993,1973041,200677,175077,25557.08,181106,179685,18167.55,70204,145092,126279,159874,130474,130578,142956,137678,3128.08,6904543,405356.9,11155.16,24664.26,37539.93,19887.24,16030.36,8105.809,3021370,2510662,550545.3,2297540,2006387,2000059,1929094,2011434,2081590,416579.5,1948747,1363192,169893,197865,215623,13380.73,17444.74,23768,166188,145091,165784,164372,129199,150801,146471,110527,231977.3,369589.3,304408.4,10469.02,41478.5,21307.21,2551.775,10908.88,2512538,414977.5,2020086,1764694,2015916,2126121,1895335,483427.8,17710.86,2049045,1454914
"9",51,"Factor #51",7.7687,115,34.75268,14.51793,15.56243,16.87869,92001,18.45726,38.20723,22.32143,16.1896,144.1273,367707,24651.64,8215.583,26351.1,8256.849,17382.89,32812,33584,58675,24092,26713,30462,23574,56014,26395,6357.872,22618,32691,9245.014,15273,7814.892,21967,18442,4500.041,2500.335,13638.14,11676.59,14120.52,12352.33,8012.687,10853.31,14475.18,137741.4,131707,178543.8,150258.4,464320,22719,17249,36501,52554,25611,29132,7478.74,26886,22274,25966,26330,24435,19225.43,22877,3754.688,13624.36,18996.21,11999.56,11350.59,8281.891,20940.86,8179.606,15461.31,453204,167764,117459,137220.4,121620,181109.1,195171,196972,128560.5,257001,528567,379955,48615,36337,28111,35113,38743,7955.188,25393,20786,24899,32167,19734,37778,4140.936,28480,33540.67,12631.3,14487.04,15411.86,15708.49,14564.15,12582.57,13331.4,227597,89056,11473.77,166704.4,241661.4,301667,94275.29,35790.48,23362.43,624272,473859
"10",54,"Factor #54",7.824,115,1338.174,1544.007,3128.486,5138.009,55403,888.4377,2029.136,1091.447,1125.81,678.8411,2316730,34540.48,26639.03,33322.33,15775.23,54068.63,183.7733,50056,53871,60323,58623,149.9878,43116,58835,51255,56584,45525,59589,63646,47915,57430,66382,63724,324.2818,168.4304,74228.91,97246.79,108076.7,17868.02,21266.76,20428.56,18815.12,2497936,2482023,2628929,2462594,2290139,54011,47842,275.5894,55655,50532,44011,56744,63720,60449,88687,217.8825,55659,63575,57594,178.6607,88413.54,89705.6,15543.54,20287.37,15068.9,17540.63,35808.15,18466.34,2764958,2608212,199911.9,2251707,2192957,2232184,2182867,31315.24,2065171,2534726,2321442,1745922,63081,54373,55716,214.3212,56080,62165,66631,60476,82343,70498,63553,69193,63675,56373,99081.31,107590.3,97024.66,16481.88,111020.7,24961.74,14793.82,19802.32,2688780,2538160,2164455,2157999,2436993,2445527,2207434,1523.535,9496.118,45043.83,1538298
